Distritos;Indicadores de renta media y mediana;Periodo;Total
Les Corts;Renta bruta media por persona;2020;30.402
Les Corts;Renta bruta media por persona;2019;31.125
Les Corts;Renta bruta media por persona;2018;30.349
Les Corts;Renta bruta media por persona;2017;29.431
Les Corts;Renta bruta media por persona;2016;28.819
Les Corts;Renta bruta media por persona;2015;27.150
Les Corts;Renta bruta media por hogar;2022;80.624
Les Corts;Renta bruta media por hogar;2021;75.994
Les Corts;Renta bruta media por hogar;2020;73.101
Les Corts;Renta bruta media por hogar;2019;75.631
Les Corts;Renta bruta media por hogar;2018;73.728
Les Corts;Renta bruta media por hogar;2017;71.554
Les Corts;Renta bruta media por hogar;2016;70.689
Les Corts;Renta bruta media por hogar;2015;66.830
Sarrià-Sant Gervasi;Renta neta media por persona;2022;29.454
Sarrià-Sant Gervasi;Renta neta media por persona;2021;26.709
Sarrià-Sant Gervasi;Renta neta media por persona;2020;26.513
Sarrià-Sant Gervasi;Renta neta media por persona;2019;27.590
Sarrià-Sant Gervasi;Renta neta media por persona;2018;27.115
Sarrià-Sant Gervasi;Renta neta media por persona;2017;25.483
Sarrià-Sant Gervasi;Renta neta media por persona;2016;24.700
Sarrià-Sant Gervasi;Renta neta media por persona;2015;23.638
Sarrià-Sant Gervasi;Renta neta media por hogar;2022;74.733
Sarrià-Sant Gervasi;Renta neta media por hogar;2021;67.917
Sarrià-Sant Gervasi;Renta neta media por hogar;2020;67.850
Sarrià-Sant Gervasi;Renta neta media por hogar;2019;71.131
Sarrià-Sant Gervasi;Renta neta media por hogar;2018;69.600
Sarrià-Sant Gervasi;Renta neta media por hogar;2017;65.517
Sarrià-Sant Gervasi;Renta neta media por hogar;2016;64.199
Sarrià-Sant Gervasi;Renta neta media por hogar;2015;61.646
Sarrià-Sant Gervasi;Media de la renta por unidad de consumo;2022;46.762
Sarrià-Sant Gervasi;Media de la renta por unidad de consumo;2021;42.657
Sarrià-Sant Gervasi;Media de la renta por unidad de consumo;2020;41.987
Sarrià-Sant Gervasi;Media de la renta por unidad de consumo;2019;43.829
Sarrià-Sant Gervasi;Media de la renta por unidad de consumo;2018;43.146
Sarrià-Sant Gervasi;Media de la renta por unidad de consumo;2017;40.363
Sarrià-Sant Gervasi;Media de la renta por unidad de consumo;2016;39.315
Sarrià-Sant Gervasi;Media de la renta por unidad de consumo;2015;37.277
Sarrià-Sant Gervasi;Mediana de la renta por unidad de consumo;2022;34.650
Sarrià-Sant Gervasi;Mediana de la renta por unidad de consumo;2021;32.550
Sarrià-Sant Gervasi;Mediana de la renta por unidad de consumo;2020;31.150
Sarrià-Sant Gervasi;Mediana de la renta por unidad de consumo;2019;31.850
Sarrià-Sant Gervasi;Mediana de la renta por unidad de consumo;2018;30.450
Sarrià-Sant Gervasi;Mediana de la renta por unidad de consumo;2017;29.750
Sarrià-Sant Gervasi;Mediana de la renta por unidad de consumo;2016;29.050
Sarrià-Sant Gervasi;Mediana de la renta por unidad de consumo;2015;28.350
Sarrià-Sant Gervasi;Renta bruta media por persona;2022;44.043
Sarrià-Sant Gervasi;Renta bruta media por persona;2021;39.931
Sarrià-Sant Gervasi;Renta bruta media por persona;2020;38.506
Sarrià-Sant Gervasi;Renta bruta media por persona;2019;40.338
Sarrià-Sant Gervasi;Renta bruta media por persona;2018;39.760
Sarrià-Sant Gervasi;Renta bruta media por persona;2017;37.002
Sarrià-Sant Gervasi;Renta bruta media por persona;2016;35.612
Sarrià-Sant Gervasi;Renta bruta media por persona;2015;33.777
Sarrià-Sant Gervasi;Renta bruta media por hogar;2022;111.746
Sarrià-Sant Gervasi;Renta bruta media por hogar;2021;101.538
Sarrià-Sant Gervasi;Renta bruta media por hogar;2020;98.541
Sarrià-Sant Gervasi;Renta bruta media por hogar;2019;103.999
Sarrià-Sant Gervasi;Renta bruta media por hogar;2018;102.058
Sarrià-Sant Gervasi;Renta bruta media por hogar;2017;95.133
Sarrià-Sant Gervasi;Renta bruta media por hogar;2016;92.559
Sarrià-Sant Gervasi;Renta bruta media por hogar;2015;88.087
Gràcia;Renta neta media por persona;2022;19.996
Gràcia;Renta neta media por persona;2021;18.978
Gràcia;Renta neta media por persona;2020;18.311
Gràcia;Renta neta media por persona;2019;18.290
Gràcia;Renta neta media por persona;2018;17.662
Gràcia;Renta neta media por persona;2017;16.948
Gràcia;Renta neta media por persona;2016;16.511
Gràcia;Renta neta media por persona;2015;16.148
Gràcia;Renta neta media por hogar;2022;44.713
Gràcia;Renta neta media por hogar;2021;42.530
Gràcia;Renta neta media por hogar;2020;41.385
Gràcia;Renta neta media por hogar;2019;41.479
Gràcia;Renta neta media por hogar;2018;39.723
Gràcia;Renta neta media por hogar;2017;38.015
Gràcia;Renta neta media por hogar;2016;37.480
Gràcia;Renta neta media por hogar;2015;36.900
Gràcia;Media de la renta por unidad de consumo;2022;29.031
Gràcia;Media de la renta por unidad de consumo;2021;27.558
Gràcia;Media de la renta por unidad de consumo;2020;26.610
Gràcia;Media de la renta por unidad de consumo;2019;26.685
Gràcia;Media de la renta por unidad de consumo;2018;25.751
Gràcia;Media de la renta por unidad de consumo;2017;24.805
Gràcia;Media de la renta por unidad de consumo;2016;24.090
Gràcia;Media de la renta por unidad de consumo;2015;23.689
Gràcia;Mediana de la renta por unidad de consumo;2022;24.850
Gràcia;Mediana de la renta por unidad de consumo;2021;24.150
Gràcia;Mediana de la renta por unidad de consumo;2020;23.450
Gràcia;Mediana de la renta por unidad de consumo;2019;23.450
Gràcia;Mediana de la renta por unidad de consumo;2018;22.050
Gràcia;Mediana de la renta por unidad de consumo;2017;21.350
Gràcia;Mediana de la renta por unidad de consumo;2016;20.650
Gràcia;Mediana de la renta por unidad de consumo;2015;19.950
Gràcia;Renta bruta media por persona;2022;26.149
Gràcia;Renta bruta media por persona;2021;24.534
Gràcia;Renta bruta media por persona;2020;23.349
Gràcia;Renta bruta media por persona;2019;23.414
Gràcia;Renta bruta media por persona;2018;22.484
Gràcia;Renta bruta media por persona;2017;21.588
Gràcia;Renta bruta media por persona;2016;20.808
Gràcia;Renta bruta media por persona;2015;20.340
Gràcia;Renta bruta media por hogar;2022;58.473
